genome_id,display_name,genus
NC_000913,Escherichia coli str. K-12 substr. MG1655,Escherichia
NC_002695,Escherichia coli O157:H7 str. Sakai,Escherichia
NC_004337,Shigella flexneri 2a str. 301,Shigella
NC_004431,Escherichia coli CFT073,Escherichia
NC_004741,Shigella flexneri 2a str. 2457T,Shigella
NC_007606,Shigella dysenteriae Sd197,Shigella
NC_007613,Shigella boydii Sb227,Shigella
NC_007779,Escherichia coli str. K-12 substr. W3110,Escherichia
NC_007946,Escherichia coli UTI89,Escherichia
NC_008253,Escherichia coli 536,Escherichia
NC_008258,Shigella flexneri 5 str. 8401,Shigella
NC_008563,Escherichia coli APEC O1,Escherichia
NC_009800,Escherichia coli HS,Escherichia
NC_009801,Escherichia coli O139:H28 str. E24377A,Escherichia
NC_010468,Escherichia coli ATCC 8739,Escherichia
NC_010498,Escherichia coli SMS-3-5,Escherichia
NC_010658,Shigella boydii CDC 3083-94,Shigella
NC_011415,Escherichia coli SE11,Escherichia
NC_011601,Escherichia coli O127:H6 str. E2348/69,Escherichia
NC_011741,Escherichia coli IAI1,Escherichia
NC_011742,Escherichia coli S88,Escherichia
NC_011748,Escherichia coli 55989,Escherichia
NC_011750,Escherichia coli IAI39,Escherichia
NZ_ADUT01000067,NZ_ADUT01000067,Shigella
NZ_CP008957,Escherichia coli O157:H7 str. EDL933,Escherichia
NZ_CP014099,Shigella sonnei_1,Shigella
NZ_CP022672,Shigella sonnei_2,Shigella
NZ_CP024466,Shigella dysenteriae,Shigella
NZ_CP026846,Shigella boydii_2,Shigella
NZ_CP032523,Shigella sonnei_3,Shigella
